ISO,PPP_all,VA_nom,VA_n_nom,VA_aggregate_nom,PPPs_ag,PPPs_non_ag,cVA_all,cVA_ag,cVA_non_ag,PPP_fin_ag,PPP_fin_non_ag,PPP_fin2_all
DNK,1.8211380911089472,2997686141.696307,222417135991.7024,225414822133.3987,0.761543042362673,1.124725953501719,201820704076.8485,11052417222.061852,190768286854.78665,0.27122448252429276,1.1659020461876188,1.116906331114404
ECU,0.561989387994501,3112075549.0,34864833703.0,37976909252.0,0.6976113206038931,0.3444007874399674,110183769871.38196,12525704944.26095,97658064927.121,0.24845512191518582,0.3570092621538065,0.34466881371304164
EGY,0.3666425298805857,12895918086.118889,76900486313.50046,89796404399.61935,0.6868435174597672,0.2140220170393709,399339464926.43,52718133749.01975,346621331177.4102,0.24462015570417792,0.22185733939767457,0.2248623346459446
EST,0.780113904712667,463647804.8601936,12038537062.386915,12502184867.247108,1.1090289529441828,0.4653346556548237,26130879252.181595,1173845364.0610905,24957033888.120506,0.3949820130107563,0.48237050590043207,0.4784448600673602
ETH,0.3494690686145576,5100132407.283649,6184247937.20606,11284380344.48971,0.944260623236602,0.1591562799457516,52649602756.51924,15165444258.34845,37484158498.17079,0.33629957160510277,0.16498297374096976,0.2143298287866463
FIN,1.456007534888561,4667826701.945372,174356763492.60126,179024590194.54663,1.1290311593893665,0.8905381365246737,200481910031.25986,11608453378.46844,188873456652.7914,0.40210582321012184,0.9231406391482717,0.8929712918568686
FRA,1.4228923268934792,34695189515.95216,1930554029636.668,1965249219152.62,1.0096107605163422,0.8639985675645919,2252017289877.568,96489678378.23471,2155527611499.3333,0.359574102630426,0.8956294595056572,0.8726616922463601
DEU,1.3451903136291257,21007708339.29892,2585574151719.7593,2606581860059.058,0.7220041200497759,0.8104113396993418,3159466556487.736,81696710254.62996,3077769846233.106,0.2571426471619567,0.8400804091586813,0.8250069476781233
GHA,0.5521948962692451,6551309546.364924,15974419234.778551,22525728781.14348,1.2914645989181344,0.2948167637375219,66513926765.78984,14243318294.475569,52270608471.31427,0.45995669063338446,0.3056099728310069,0.33866183935375704
GRC,1.10381065528747,10848911315.324156,206060193335.62592,216909104650.95007,1.3812654214727118,0.666253540338605,320412407469.224,22053350739.927376,298359056729.29663,0.49193936301399804,0.6906450087170836,0.6769684930874109
HUN,0.7530265919272148,4213069783.172372,93244087031.67862,97457156814.851,0.6702768412212321,0.4651651991036888,211022881923.3199,17648589581.660984,193374292341.6589,0.2387199137743143,0.4821948455637136,0.46183217633367524
ISL,2.0650070523101087,792724909.3651588,13575688454.312096,14368413363.677254,2.696102142856101,1.24492886974706,11345232489.901253,825565867.0988021,10519666622.80245,0.9602200635437451,1.2905055778940187,1.266471478347141
IND,0.3366304887638703,145122077733.60416,609280617506.0189,754402695239.623,0.775014885103424,0.1878856416744583,3654061976732.9834,525761776584.15424,3128300200148.829,0.27602249573267656,0.19476411422312742,0.2064559112689484
IDN,0.4245373820941406,36419295813.62123,264357710737.95505,300777006551.57623,0.9449868806925008,0.2435774675432718,1155193723917.6853,108210980051.94994,1046982743865.7354,0.33655822908301036,0.2524948116736642,0.26036932189306844
IRL,1.728384782919936,2189853917.8831964,183829861501.60327,186019715419.48648,1.2237056470803196,1.040333229958757,175486885830.53207,5024626052.502078,170462259778.03,0.43582425736791497,1.0784197143753702,1.0600206080306536
ISR,1.0802245010562233,2770930354.0789266,128987409805.0226,131758340159.10156,1.1672483183151925,0.6473610806099847,198879590528.30377,6665426113.818807,192214164414.48495,0.4157169109315029,0.6710608981285997,0.662503074393399
ITA,1.2838028929123848,37860279577.89758,1639621280079.6348,1677481559657.5322,0.9699119456477282,0.782671500370855,2130519581990.1365,109601645341.54361,2020917936648.5928,0.3454353213395324,0.8113250173823067,0.7873579636806635
JPN,1.562027212457383,53708002611.24404,4799853780969.969,4853561783581.213,5.684078795774842,0.9187445029547402,5066383869484.3545,26530441486.450462,5039853427997.904,2.024391589513262,0.9523796375317851,0.9579932963262016
KEN,0.3942684880215502,3173279065.4375014,19080357610.564014,22253636676.00151,1.1320475648326096,0.2187069071829146,92031192902.44225,7870623849.016689,84160569053.42555,0.4031801196844076,0.22671374285090334,0.24180537026822524
LAO,0.3282954781369222,774030046.4217961,1883821450.070132,2657851496.491928,1.1721064821843827,0.1601652427445442,13200547260.959417,1854198891.7011745,11346348369.258244,0.4174471519134852,0.1660288745561657,0.2013440385424411
LVA,0.7212375785250899,630694148.2749457,13793477346.589138,14424171494.864084,0.9244741302236588,0.4335220784809152,32609088252.04108,1915532849.9972148,30693555402.043865,0.3292525880074898,0.44939327379683874,0.44233593357094986
LTU,0.6965597854877766,1130327497.4089997,22527021752.43554,23657349249.84454,0.7345868663191407,0.4256297896814398,55377559085.39337,4320427272.215265,51057131813.17811,0.26162400757863774,0.44121204917784274,0.4272010113946049
LUX,1.5588672757101532,134302033.08326405,33324299074.83781,33458601107.92107,1.489496636886189,0.9252818752057166,34996512231.939705,253167892.04972407,34743344339.889984,0.530486042269871,0.9591563422573882,0.9560553030591702
MWI,0.5084241334551638,1203319053.335585,2039504305.353825,3242823358.68941,1.0145755157861178,0.2782998997776758,10399758660.355318,3330136085.52587,7069622574.829449,0.36134230626961483,0.28848842830948823,0.3118171742822555
MYS,0.5060911691506362,11859232348.482004,129992628468.19556,141851860816.67758,0.9374696682904656,0.2975145158126183,457017050820.38226,35519342524.42309,421497708295.95917,0.333880964725842,0.3084064893110162,0.3103863642768735
MUS,0.5939255478792618,322990393.12364215,5379975070.263214,5702965463.386856,2.083829388157198,0.3409675939650841,15656506407.168594,435204133.8168601,15221302273.351734,0.7421583758658896,0.35345037984575434,0.36425530160263964
MEX,0.8796311965543,27028660497.787334,854221106773.7083,881249767271.4956,0.9628332128141156,0.5300397238697312,1633520230363.6733,78820471017.40575,1554699759346.2676,0.3429142220149719,0.5494444195018708,0.5394789430157847
MAR,0.6135432715711479,7366856547.94459,48875527401.910706,56242383949.85529,1.3098044863077911,0.3527176213677686,149466769704.8088,15792151614.516512,133674618090.29228,0.46648846387548637,0.3656305744512925,0.37628687674813516
MMR,0.2189659648927556,5570174138.210084,6360654377.731045,11930828515.941128,0.5082644504024899,0.1056637445153451,88842365564.77113,30771212053.713074,58071153511.05806,0.18101900336220092,0.10953208250839779,0.13429210760088187
NAM,0.81664174902444,751546975.1481203,5890955176.555755,6642502151.703875,1.0729262421886578,0.5031005139948963,13262526074.605839,1966762091.8994324,11295763982.706406,0.38212398858181246,0.5215189681348417,0.5008474339155099
NPL,0.3298697799890861,2798621303.1281743,5455286435.912704,8253907739.040878,0.8430141662505192,0.1671886963971052,40798406874.520966,9321264428.700558,31477142445.82041,0.30024052257450223,0.1733094560696715,0.20230955989106356
NLD,1.502146039217854,12876334319.065723,599515905444.3383,612392239763.4039,0.9876926097422914,0.9207479347334218,664727501720.18,36604628643.425865,628122873076.7542,0.3517679265236391,0.9544564147261674,0.9212680958417652
NZL,1.4201003463815307,5182804737.861726,101240362783.9152,106423167521.77692,1.0749423944958605,0.8988576242803328,122192140614.3151,13537710456.261988,108654430158.0531,0.38284204368282776,0.9317647024299599,0.8709493670111643
NGA,0.6029488414911182,45952090152.17508,128376620715.39786,174328710867.57294,1.997226319714538,0.3044124631346661,471427137723.4392,64601641747.71754,406825495975.7217,0.7113145875088945,0.3155569697211382,0.3697892991680979
MKD,0.5133521495799358,609349747.6007107,4764578946.1759,5373928693.776611,1.001082267650487,0.2992445666783594,17068786261.439617,1709080158.427528,15359706103.012089,0.35653666950376084,0.31019987714748987,0.3148395329032237
NOR,1.8580188286201056,4214202561.1175785,272487698874.6605,276701901435.778,1.8077665652024593,1.1125275597166473,242822070718.29483,6545436625.535386,236276634092.75943,0.6438382650711062,1.1532570705560543,1.1395253348151708
PAK,0.3179043950506963,31245453571.15223,106721146937.34592,137966600508.49814,0.9337447535524276,0.1677646509217796,707625633697.589,93955936167.67368,613669697529.9153,0.332554331802853,0.17390649622575416,0.19497117393497304
PER,0.6235443433413944,5214752933.620895,64054351316.431496,69269104250.0524,0.720549379891485,0.3842490144717995,181133322487.38757,20320554457.048565,160812768030.33902,0.2566245396818914,0.3983163283673282,0.38242054691441796
PHL,0.439171274317347,14520546013.153185,92899431954.45135,107419977967.60454,0.6256922167061378,0.268592868066933,398820302703.35803,65161002927.059235,333659299776.29877,0.22284104542416852,0.2784260232420784,0.2693443067954927
POL,0.7311795137915716,9110539898.727144,260779893781.96997,269890433680.6971,0.6177579748402314,0.4488768089698246,601851852815.8711,41408673582.15977,560443179233.7113,0.22001525551526643,0.4653101392696613,0.4484333352434933
PRT,1.0988776282999302,4543729941.366387,166395563604.36496,170939293545.73135,1.2723076998266212,0.6589091761204181,253640557136.28247,10027344154.907053,243613212981.37543,0.45313393767808746,0.683031768137659,0.6739430612979009
KOR,0.9064021296120296,24346197589.64012,859790919903.6145,884137117493.2546,3.4154122164658265,0.5281443555737231,1590467619134.5986,20014907173.572166,1570452711961.0264,1.2164032227832176,0.5474796619823035,0.5558975906559664
ROU,0.6235098825176327,8354940896.362684,78954970561.29813,87309911457.66081,1.4116901057664597,0.3597790611614139,228321249215.06076,16617648810.020416,211703600405.04034,0.5027751513995571,0.37295053277430384,0.3823994120469344
RUS,0.5359164338288886,32523936427.00503,628668820783.9579,661192757210.9629,0.980562840731652,0.3161079904495201,2011671847800.5996,93130779421.7323,1918541068378.8674,0.34922865060243974,0.327680668996662,0.3286782374241892
RWA,0.4500633070109905,991354526.6941552,1683330742.4336555,2674685269.127811,1.1436840111611668,0.2237918012819273,9690031845.359306,2433820303.2339144,7256211542.125393,0.40732445422404556,0.23198479436014302,0.2760244044408126
SEN,0.521935770685393,1671214918.3920112,8077115428.50011,9748330346.89212,1.4437244942715477,0.2864292897014648,30453646437.487793,3250225882.4824815,27203420555.00531,0.514184237901508,0.2969154342987193,0.3201038787556203
SGP,0.8063573929471929,70355789.40727802,122031966522.42027,122102322311.82756,2.267542161531266,0.4769677898385984,246900788833.52045,87118428.91846646,246813670404.602,0.807587903968327,0.4944295278392526,0.49454002511979966
SVK,0.6603683960780624,718411606.5219669,42416444535.20106,43134856141.72302,0.9113069728638348,0.392348253363376,106504559099.7085,2213472915.3146935,104291086184.3938,0.32456308886880103,0.4067120794983943,0.40500478577016225
SVN,0.8879876825526483,871375706.4745044,30679815817.36954,31551191523.844044,1.1213831936408942,0.530852638806099,57934191264.2646,2181810212.6594267,55752381051.60518,0.3993819908892888,0.5502870951640949,0.5446039866151663
ZAF,0.7077755566971815,6023221989.848512,256109238426.3329,262132460416.1814,1.0544625753154495,0.4202898464726873,603881005275.0792,16038482129.553453,587842523145.5258,0.3755481311258107,0.43567661123918167,0.43407965828760436
ESP,1.181253267440722,31849955063.03397,1004515808622.535,1036365763685.569,0.8965588786806397,0.7281732723575535,1430527333228.8728,99746019492.21944,1330781313736.6533,0.31931053715400026,0.7548316152726784,0.7244641466209292
LKA,0.340493598440318,2189563398.719945,22622767278.632576,24812330677.35252,0.7530918457825126,0.1972234386759407,118818683109.69649,8163476461.432323,110655206648.26416,0.2682145785639682,0.20444376693943356,0.20882516139692556
SWE,1.655690645248875,4544841233.64437,342144089023.43604,346688930257.0804,0.9047973597203844,1.0083892263157956,341418386344.09247,14103696614.631636,327314689729.4608,0.322244682215399,1.0453062442942367,1.0154371999979992
CHE,1.9099158176353956,3424224942.645345,399303033304.50995,402727258247.1553,2.4179914156774434,1.13348629661251,343813499987.03516,3976244643.8968883,339837255343.13824,0.8611705891641164,1.1749831044902017,1.1713538248566204
THA,0.4084689100590121,17406606999.37131,171911850214.9306,189318457214.3019,0.7732614890643581,0.2394762064368021,755718537891.7057,63205272494.14773,692513265397.558,0.2753980215967428,0.2482434038519673,0.2505145073488077
TUN,0.5774328384342026,2959304267.3997455,26709349227.962967,29668653495.362713,0.8583131464290421,0.3477398068791012,83776552265.08444,9680759283.051361,74095792982.03308,0.3056892730078272,0.3604705227250825,0.3541403017097866
TUR,0.7981891106923128,46405464323.93199,396353356704.9605,442758821028.8925,1.5780224483969467,0.4652168289967751,904456218839.3196,82569852891.38907,821886365947.9305,0.5620146179135492,0.48224836562147194,0.48953040711808127
UGA,0.3504779779416107,2980925517.520628,7421788205.951292,10402713723.47192,0.3613957617259741,0.2837025547129496,48396286393.43684,23159737628.63309,25236548764.803745,0.1287115409215698,0.2940888738440384,0.2149485941731815
GBR,1.601114917707403,13856405625.4716,2276888717844.6006,2290745123470.0723,1.1490527526731067,0.9554230923703132,2332815500373.2,33859160502.396027,2298956339870.804,0.4092365380556632,0.9904010260466957,0.9819658361767583
USA,1.356814361688723,129500000000.0,12909900000000.0,13039400000000.0,0.8136465066589896,0.8181067494139428,15669794524593.115,446888902084.7098,15222905622508.406,0.28978119482468756,0.8480575469712941,0.8321359912879001
VNM,0.3490527541243129,11123206187.896376,46510175663.533035,57633381851.42941,1.2045620414392617,0.1844176508088874,269221141043.00485,25927842486.96536,243293298556.0395,0.42900623889119655,0.1911691605957655,0.2140745025749043
ZMB,0.6337266101671265,1215090821.0526316,6611382050.391937,7826472871.444569,4.8449331150432515,0.3282054953563892,20136791168.575855,704184594.2972858,19432606574.27857,1.7255288327703124,0.34022106221935816,0.38866534424104493
