ISO,Year,PPP_a_t_na,PPP_n_t_na,PPP_t_na,rVA_a_t,rVA_n_t,rVA_t
AUT,1986,0.35136354854129637,0.412120234376121,0.4119071119673962,9095546117.51445,205081470006.6249,212946230586.1896
AUT,1987,0.44111569853242244,0.5100094693712858,0.5097796033376935,9000865896.310751,207863514593.02475,215745752294.50858
AUT,1988,0.4382086383799055,0.5311833287373932,0.5300636831293238,9275534638.846748,214088731629.9981,222209119895.47977
AUT,1989,0.43433821237926096,0.5114441080583688,0.5104932920590314,9229012230.12132,222246130563.92773,230512307448.9715
AUT,1990,0.5190728391227925,0.6135098959784778,0.6125971425805307,9932531963.81089,232574398383.74658,241337074970.7139
AUT,1991,0.5070262707177902,0.6202046854526336,0.6178865478523027,9636025140.046682,240981462641.4778,249792701694.5962
AUT,1992,0.5071769950557593,0.6820254994608014,0.6771325562514218,9436081934.048021,247112561437.22614,255965881742.83133
AUT,1993,0.453030794489314,0.6637362166046459,0.65731260198336,9263369809.881838,248715630042.2327,257530682613.59265
AUT,1994,0.4833923723596478,0.6906979444095437,0.6848155178954343,9986060399.297562,255137317712.31488,264377779974.09308
AUT,1995,0.5108659248412891,0.8024402272963455,0.7936879855644364,10269740875.5779,262458241259.83856,271962679753.96
AUT,1996,0.46174685555978234,0.7733113094664242,0.7635417919986616,10100495746.059263,266663624889.4465,276183794142.6377
AUT,1997,0.3976300656085524,0.6790430825085852,0.6702607177065646,10473560923.425148,271547011569.71918,281318474316.4108
AUT,1998,0.36559075591934487,0.6729701981367469,0.6632243885283748,10915564423.185932,281526820606.8954,291680753964.1815
AUT,1999,0.333049130796311,0.6490480121618901,0.6389923082730896,11573450414.594215,290356282472.62305,300957762822.207
AUT,2000,0.29980692322550645,0.571382210513576,0.5625508925464726,10933671883.294724,300449883452.2459,310993567693.83435
AUT,2001,0.30472305715037395,0.5655027820515567,0.5570278322195387,11014369172.504812,304448157633.5318,315105641453.628
AUT,2002,0.3131936165507387,0.6036884831429539,0.5941412879580976,10820358481.750528,308761402060.2659,319426664186.8412
AUT,2003,0.37414919268576213,0.730245399870318,0.7183827667561337,10363821806.371702,313576958564.6262,324152746746.2017
AUT,2004,0.3915226663190875,0.8149452656586692,0.8010252186012715,11411188321.15613,321544018378.9927,332709268281.918
AUT,2005,0.35782273740649645,0.8354082293784496,0.8196174813134052,11251685109.400438,329051481425.31586,340303166534.7163
AUT,2006,0.40006460930944154,0.863034394982719,0.847644808713827,11079865023.644897,339861511901.7618,351261322092.82074
AUT,2007,0.4594976238901553,0.9631898720594467,0.9465885208166029,12305378659.509827,352114661945.945,364263416323.309
AUT,2008,0.44953961071822296,1.0538745742945153,1.033964046949264,13224803568.985176,357790094386.924,370429665893.2423
AUT,2009,0.3820866241093927,1.020656723115846,0.9995020534984853,12295275021.704073,343615340535.90375,355588231525.1182
AUT,2010,0.4361065135634158,0.9772212377585079,0.95928137055135,11556875666.531195,349754370963.1681,361549216638.4427
AUT,2011,0.470217695754261,1.0421713619119253,1.0234006198920318,13330726233.04464,360220747806.6204,372952764815.462
