country1,country2,sector,GEKS_index,GEKS_index_standardized
LTU,USA,non_ag,0.6974496775273628,0.5202619217924104
LUX,USA,non_ag,1.5161944984328743,1.1310038401083347
LVA,USA,non_ag,0.7103822175224292,0.5299089376679414
MAR,USA,non_ag,0.5779736222534801,0.431138872305406
MEX,USA,non_ag,0.868538912105561,0.6478857731578787
MKD,USA,non_ag,0.49035107878103074,0.36577691956792396
MMR,USA,non_ag,0.1731437656037136,0.1291564268245412
MUS,USA,non_ag,0.5587196766377996,0.4167764099359148
MWI,USA,non_ag,0.4560305224432496,0.34017553329933803
MYS,USA,non_ag,0.4875161657940421,0.3636622189289419
NAM,USA,non_ag,0.8243955187258168,0.6149570509658994
NGA,USA,non_ag,0.4988193481651909,0.37209381703883315
NLD,USA,non_ag,1.5087650482463706,1.1254618488271935
NOR,USA,non_ag,1.823020865962933,1.3598806763464732
NPL,USA,non_ag,0.27396038814777063,0.20436049026226982
NZL,USA,non_ag,1.4728949321581444,1.098704569940581
PAK,USA,non_ag,0.27490416442293514,0.20506449927464748
PER,USA,non_ag,0.6296419041396101,0.4696807779022228
PHL,USA,non_ag,0.4401242905475155,0.3283102947865198
POL,USA,non_ag,0.7355429372080148,0.5486775525215762
PRT,USA,non_ag,1.079708243046047,0.805407334180329
ROU,USA,non_ag,0.5895447082684954,0.43977031288293916
RUS,USA,non_ag,0.5179839883102393,0.38638966207767705
RWA,USA,non_ag,0.36671192529584856,0.2735484109405556
SEN,USA,non_ag,0.46935158341758676,0.3501123660288229
SGP,USA,non_ag,0.7815736569163725,0.583014123988438
SVK,USA,non_ag,0.642913558732619,0.4795807559886748
SVN,USA,non_ag,0.8698709787840969,0.6488794270263379
SWE,USA,non_ag,1.652376684541747,1.23258881195903
THA,USA,non_ag,0.3924128597291814,0.29271999847006863
TUN,USA,non_ag,0.5698168268550412,0.42505431855709225
TUR,USA,non_ag,0.762318181739458,0.5686505206442031
TWN,USA,non_ag,0.6518827435232956,0.4862713108293508
TZA,USA,non_ag,0.35510203743288127,0.264888026161548
UGA,USA,non_ag,0.46488347407809266,0.3467793841282719
USA,USA,non_ag,1.340574138358048,1.0
VNM,USA,non_ag,0.30219226709502345,0.2254200334381747
ZAF,USA,non_ag,0.6886994871994107,0.5137347256623482
ZMB,USA,non_ag,0.5378073209357503,0.4011768581441258
ARG,USA,aggregate,0.502206998080415,0.40039842645823115
AUS,USA,aggregate,1.308199442283825,1.042998206289643
AUT,USA,aggregate,1.2440391691746115,0.9918446530889649
BEL,USA,aggregate,1.3228516982837142,1.0546801228476426
BGD,USA,aggregate,0.34192679603913456,0.2726106000539085
BGR,USA,aggregate,0.47880985896578643,0.3817444098456997
BOL,USA,aggregate,0.31303682522002274,0.24957727136551702
BRA,USA,aggregate,0.7393831973126749,0.5894937145146009
BWA,USA,aggregate,0.6265737131766157,0.49955323158566656
CAN,USA,aggregate,1.1872202648292014,0.9465442092880202
CHE,USA,aggregate,1.7960948400413856,1.4319863133551276
CHL,USA,aggregate,0.7219874780482988,0.5756244959509638
CHN,USA,aggregate,0.3594422013867214,0.2865752416593783
CMR,USA,aggregate,0.5004356101772963,0.3989861384340362
COL,USA,aggregate,0.5934714516695071,0.4731615375823646
CRI,USA,aggregate,0.54370622154381,0.43348483074469873
CYP,USA,aggregate,1.1206213544846433,0.893446385068685
CZE,USA,aggregate,0.6473837945212333,0.5161446448011361
DEU,USA,aggregate,1.2373913631192066,0.9865445057509992
DNK,USA,aggregate,1.7057499269238101,1.3599563313177396
ECU,USA,aggregate,0.5452053824520178,0.43468007826404526
EGY,USA,aggregate,0.35069027577952666,0.2795975267828541
ESP,USA,aggregate,1.1235484580458408,0.8957800993826303
EST,USA,aggregate,0.7437345262945626,0.5929629319568296
ETH,USA,aggregate,0.28128348946596343,0.22426104574675448
FIN,USA,aggregate,1.3754542301897053,1.0966189470444039
FRA,USA,aggregate,1.330460373184985,1.060746349462456
GBR,USA,aggregate,1.472554350131974,1.1740347046551023
GHA,USA,aggregate,0.5004400236110088,0.39898965716619345
GRC,USA,aggregate,1.0551186002192976,0.8412225016166965
HKG,USA,aggregate,0.9130063661764081,0.7279195904491274
HRV,USA,aggregate,0.8538406661777294,0.6807480988723066
HUN,USA,aggregate,0.7227188593837076,0.5762076099596454
IDN,USA,aggregate,0.4072594743128592,0.32469888571517785
IND,USA,aggregate,0.31630448266119865,0.25218250168419504
IRL,USA,aggregate,1.6025957677066303,1.2777138233657355
ISL,USA,aggregate,1.9758893348589017,1.5753324496812862
ISR,USA,aggregate,1.0165839802350212,0.8104997094914469
ITA,USA,aggregate,1.2082430701627729,0.963305222590252
JPN,USA,aggregate,1.6221272520317953,1.2932858397256857
KEN,USA,aggregate,0.37839701683250815,0.30168749279747165
KHM,USA,aggregate,0.35478925479159534,0.28286555122853263
KOR,USA,aggregate,0.9407557045599176,0.7500435183642759
LAO,USA,aggregate,0.29417392957185934,0.23453830582971405
LKA,USA,aggregate,0.329542385882548,0.2627367863510644
LTU,USA,aggregate,0.6670227450733909,0.5318023415843972
LUX,USA,aggregate,1.444048878476094,1.1513079285645857
LVA,USA,aggregate,0.6885346705812236,0.5489533194806544
MAR,USA,aggregate,0.5851321842559309,0.46651282586991727
MEX,USA,aggregate,0.8332747803690714,0.6643513773053408
MKD,USA,aggregate,0.49294958412600326,0.393017697008847
MMR,USA,aggregate,0.1814221024553558,0.1446437915551247
MUS,USA,aggregate,0.6028140909228656,0.48061021525971687
MWI,USA,aggregate,0.46184104499894924,0.36821555334399053
MYS,USA,aggregate,0.4869931680760347,0.38826877948508903
NAM,USA,aggregate,0.7979566740969535,0.6361930397455439
NGA,USA,aggregate,0.5469413300775573,0.4360641105462251
NLD,USA,aggregate,1.4136463194367717,1.1270686470607885
NOR,USA,aggregate,1.7368546495654744,1.384755432184008
NPL,USA,aggregate,0.28863416252663393,0.230121573254637
NZL,USA,aggregate,1.3855642253836091,1.104679420479884
PAK,USA,aggregate,0.2937185328193954,0.2341752281669222
PER,USA,aggregate,0.6065335620092392,0.4835756665097658
PHL,USA,aggregate,0.4290293907037024,0.3420555539821245
POL,USA,aggregate,0.6965806617387914,0.5553682085823614
